🙌🏽 raising hands: medium skin tone ; 1F64C 1F3FD
🙌🏾 raising hands: medium-dark skin tone ; 1F64C 1F3FE
🙌🏿 raising hands: dark skin tone ; 1F64C 1F3FF
👐 open hands ; 1F450
👐🏻 open hands: light skin tone ; 1F450 1F3FB
👐🏼 open hands: medium-light skin tone ; 1F450 1F3FC
👐🏽 open hands: medium skin tone ; 1F450 1F3FD
👐🏾 open hands: medium-dark skin tone ; 1F450 1F3FE
👐🏿 open hands: dark skin tone ; 1F450 1F3FF
🤲 palms up together ; 1F932
🤲🏻 palms up together: light skin tone ; 1F932 1F3FB
🤲🏼 palms up together: medium-light skin tone ; 1F932 1F3FC
🤲🏽 palms up together: medium skin tone ; 1F932 1F3FD
🤲🏾 palms up together: medium-dark skin tone ; 1F932 1F3FE
🤲🏿 palms up together: dark skin tone ; 1F932 1F3FF
🤝 handshake ; 1F91D
🙏 folded hands ; 1F64F
🙏🏻 folded hands: light skin tone ; 1F64F 1F3FB
🙏🏼 folded hands: medium-light skin tone ; 1F64F 1F3FC
🙏🏽 folded hands: medium skin tone ; 1F64F 1F3FD
🙏🏾 folded hands: medium-dark skin tone ; 1F64F 1F3FE
🙏🏿 folded hands: dark skin tone ; 1F64F 1F3FF
✍️ writing hand ; 270D FE0F
✍ writing hand ; 270D
✍🏻 writing hand: light skin tone ; 270D 1F3FB
✍🏼 writing hand: medium-light skin tone ; 270D 1F3FC
✍🏽 writing hand: medium skin tone ; 270D 1F3FD
✍🏾 writing hand: medium-dark skin tone ; 270D 1F3FE
✍🏿 writing hand: dark skin tone ; 270D 1F3FF
💅 nail polish ; 1F485
💅🏻 nail polish: light skin tone ; 1F485 1F3FB
💅🏼 nail polish: medium-light skin tone ; 1F485 1F3FC
💅🏽 nail polish: medium skin tone ; 1F485 1F3FD
💅🏾 nail polish: medium-dark skin tone ; 1F485 1F3FE
💅🏿 nail polish: dark skin tone ; 1F485 1F3FF
🤳 selfie ; 1F933
🤳🏻 selfie: light skin tone ; 1F933 1F3FB
🤳🏼 selfie: medium-light skin tone ; 1F933 1F3FC
🤳🏽 selfie: medium skin tone ; 1F933 1F3FD
🤳🏾 selfie: medium-dark skin tone ; 1F933 1F3FE
🤳🏿 selfie: dark skin tone ; 1F933 1F3FF
💪 flexed biceps ; 1F4AA
💪🏻 flexed biceps: light skin tone ; 1F4AA 1F3FB
💪🏼 flexed biceps: medium-light skin tone ; 1F4AA 1F3FC
💪🏽 flexed biceps: medium skin tone ; 1F4AA 1F3FD
💪🏾 flexed biceps: medium-dark skin tone ; 1F4AA 1F3FE
💪🏿 flexed biceps: dark skin tone ; 1F4AA 1F3FF
🦾 mechanical arm ; 1F9BE
🦿 mechanical leg ; 1F9BF
🦵 leg ; 1F9B5
🦵🏻 leg: light skin tone ; 1F9B5 1F3FB
🦵🏼 leg: medium-light skin tone ; 1F9B5 1F3FC
🦵🏽 leg: medium skin tone ; 1F9B5 1F3FD
🦵🏾 leg: medium-dark skin tone ; 1F9B5 1F3FE
🦵🏿 leg: dark skin tone ; 1F9B5 1F3FF
🦶 foot ; 1F9B6
🦶🏻 foot: light skin tone ; 1F9B6 1F3FB
🦶🏼 foot: medium-light skin tone ; 1F9B6 1F3FC
🦶🏽 foot: medium skin tone ; 1F9B6 1F3FD
🦶🏾 foot: medium-dark skin tone ; 1F9B6 1F3FE
🦶🏿 foot: dark skin tone ; 1F9B6 1F3FF
👂 ear ; 1F442
👂🏻 ear: light skin tone ; 1F442 1F3FB
👂🏼 ear: medium-light skin tone ; 1F442 1F3FC
👂🏽 ear: medium skin tone ; 1F442 1F3FD
👂🏾 ear: medium-dark skin tone ; 1F442 1F3FE
👂🏿 ear: dark skin tone ; 1F442 1F3FF
🦻 ear with hearing aid ; 1F9BB
🦻🏻 ear with hearing aid: light skin tone ; 1F9BB 1F3FB
🦻🏼 ear with hearing aid: medium-light skin tone ; 1F9BB 1F3FC
🦻🏽 ear with hearing aid: medium skin tone ; 1F9BB 1F3FD
🦻🏾 ear with hearing aid: medium-dark skin tone ; 1F9BB 1F3FE
🦻🏿 ear with hearing aid: dark skin tone ; 1F9BB 1F3FF
👃 nose ; 1F443
👃🏻 nose: light skin tone ; 1F443 1F3FB
👃🏼 nose: medium-light skin tone ; 1F443 1F3FC
👃🏽 nose: medium skin tone ; 1F443 1F3FD
👃🏾 nose: medium-dark skin tone ; 1F443 1F3FE
👃🏿 nose: dark skin tone ; 1F443 1F3FF
🧠 brain ; 1F9E0
🫀 anatomical heart ; 1FAC0
🫁 lungs ; 1FAC1
🦷 tooth ; 1F9B7
🦴 bone ; 1F9B4
👀 eyes ; 1F440
👁️ eye ; 1F441 FE0F
👁 eye ; 1F441
👅 tongue ; 1F445
👄 mouth ; 1F444
👶 baby ; 1F476
👶🏻 baby: light skin tone ; 1F476 1F3FB
👶🏼 baby: medium-light skin tone ; 1F476 1F3FC
👶🏽 baby: medium skin tone ; 1F476 1F3FD
👶🏾 baby: medium-dark skin tone ; 1F476 1F3FE
👶🏿 baby: dark skin tone ; 1F476 1F3FF
🧒 child ; 1F9D2
🧒🏻 child: light skin tone ; 1F9D2 1F3FB
🧒🏼 child: medium-light skin tone ; 1F9D2 1F3FC
🧒🏽 child: medium skin tone ; 1F9D2 1F3FD
🧒🏾 child: medium-dark skin tone ; 1F9D2 1F3FE
🧒🏿 child: dark skin tone ; 1F9D2 1F3FF
👦 boy ; 1F466
👦🏻 boy: light skin tone ; 1F466 1F3FB
👦🏼 boy: medium-light skin tone ; 1F466 1F3FC
👦🏽 boy: medium skin tone ; 1F466 1F3FD
